0,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451, 
10, 0.000235175 7.60124e-06    0.622401,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451, 
20,  0.000906157 -5.97121e-06     0.622207,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451, 
30,   0.00180911 -2.90151e-05     0.622094,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451, 
40,   0.00303147 -4.36369e-05     0.622046,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451, 
50,   0.00470864 -4.40801e-05     0.622002,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451, 
60,   0.00695917 -3.92303e-05     0.621936,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451,        0        0 0.622451, 
70,   0.00920493 -3.60457e-05     0.621878, 6.58706e-310 6.58706e-310     0.622451,   0.00949924 -0.000172033     0.626818,   0.00637669 -0.000260142     0.629544,   0.00358493 -0.000353175     0.632251,   0.00120372 -0.000441957     0.634931, -0.000756844 -0.000521488      0.63758,  -0.00232289 -0.000589491     0.640198,  -0.00353666 -0.000645389     0.642787,  -0.00444473 -0.000689612      0.64535,  -0.00509143 -0.000723127     0.647891,  -0.00551552 -0.000747126     0.650412, -0.00574869 -0.00076284    0.652919,  -0.00581521 -0.000771417     0.655412,  -0.00573216 -0.000773868     0.657896,  -0.0055101 -0.00077104    0.660373,  -0.00515398 -0.000763626     0.662845,  -0.00466442 -0.000752192     0.665314,  -0.00403962 -0.000737228     0.667783, -0.00327809 -0.00071922    0.670255,  -0.00238304 -0.000698758     0.672733,  -0.00136924 -0.000676675     0.675223, -0.000273838 -0.000654251     0.677731,  0.000826587 -0.000633486     0.680267,    0.0017894 -0.000617488     0.682849,   0.00234474 -0.000608926     0.684979, 
80,    0.0110091 -3.85109e-05     0.621842, 6.58706e-310 6.58706e-310     0.622451,   0.00949924 -0.000172033     0.626818,   0.00637669 -0.000260142     0.629544,   0.00358493 -0.000353175     0.632251,   0.00120372 -0.000441957     0.634931, -0.000756844 -0.000521488      0.63758,  -0.00232289 -0.000589491     0.640198,  -0.00353666 -0.000645389     0.642787,  -0.00444473 -0.000689612      0.64535,  -0.00509143 -0.000723127     0.647891,  -0.00551552 -0.000747126     0.650412, -0.00574869 -0.00076284    0.652919,  -0.00581521 -0.000771417     0.655412,  -0.00573216 -0.000773868     0.657896,  -0.0055101 -0.00077104    0.660373,  -0.00515398 -0.000763626     0.662845,  -0.00466442 -0.000752192     0.665314,  -0.00403962 -0.000737228     0.667783, -0.00327809 -0.00071922    0.670255,  -0.00238304 -0.000698758     0.672733,  -0.00136924 -0.000676675     0.675223, -0.000273838 -0.000654251     0.677731,  0.000826587 -0.000633486     0.680267,    0.0017894 -0.000617488     0.682849,   0.00234474 -0.000608926     0.684979, 
90,    0.0124888 -4.62513e-05     0.621814, 6.58706e-310 6.58706e-310     0.622451,   0.00949924 -0.000172033     0.626818,   0.00637669 -0.000260142     0.629544,   0.00358493 -0.000353175     0.632251,   0.00120372 -0.000441957     0.634931, -0.000756844 -0.000521488      0.63758,  -0.00232289 -0.000589491     0.640198,  -0.00353666 -0.000645389     0.642787,  -0.00444473 -0.000689612      0.64535,  -0.00509143 -0.000723127     0.647891,  -0.00551552 -0.000747126     0.650412, -0.00574869 -0.00076284    0.652919,  -0.00581521 -0.000771417     0.655412,  -0.00573216 -0.000773868     0.657896,  -0.0055101 -0.00077104    0.660373,  -0.00515398 -0.000763626     0.662845,  -0.00466442 -0.000752192     0.665314,  -0.00403962 -0.000737228     0.667783, -0.00327809 -0.00071922    0.670255,  -0.00238304 -0.000698758     0.672733,  -0.00136924 -0.000676675     0.675223, -0.000273838 -0.000654251     0.677731,  0.000826587 -0.000633486     0.680267,    0.0017894 -0.000617488     0.682849,   0.00234474 -0.000608926     0.684979, 
100,    0.0137385 -5.93303e-05     0.621782, 6.58706e-310 6.58706e-310     0.622451,   0.00949924 -0.000172033     0.626818,   0.00637669 -0.000260142     0.629544,   0.00358493 -0.000353175     0.632251,   0.00120372 -0.000441957     0.634931, -0.000756844 -0.000521488      0.63758,  -0.00232289 -0.000589491     0.640198,  -0.00353666 -0.000645389     0.642787,  -0.00444473 -0.000689612      0.64535,  -0.00509143 -0.000723127     0.647891,  -0.00551552 -0.000747126     0.650412, -0.00574869 -0.00076284    0.652919,  -0.00581521 -0.000771417     0.655412,  -0.00573216 -0.000773868     0.657896,  -0.0055101 -0.00077104    0.660373,  -0.00515398 -0.000763626     0.662845,  -0.00466442 -0.000752192     0.665314,  -0.00403962 -0.000737228     0.667783, -0.00327809 -0.00071922    0.670255,  -0.00238304 -0.000698758     0.672733,  -0.00136924 -0.000676675     0.675223, -0.000273838 -0.000654251     0.677731,  0.000826587 -0.000633486     0.680267,    0.0017894 -0.000617488     0.682849,   0.00234474 -0.000608926     0.684979, 
110,    0.0147149 -7.50243e-05     0.621752, 1.31741e-309 1.31741e-309     0.622451,    0.0112319 -0.000248249     0.622334,   0.00781393 -0.000337643     0.622431,   0.00475084 -0.000453283     0.622705,     0.002123 -0.000565684     0.623155, -6.13827e-05 -0.000665781     0.623753,  -0.00183319 -0.000749058     0.624467,  -0.00324032 -0.000814009     0.625269,  -0.00433429 -0.000860981     0.626132,  -0.00516311 -0.000891344      0.62704, -0.00576773 -0.00090691    0.627979,  -0.00618078 -0.000909555      0.62894,  -0.00642641 -0.000900997     0.629918,  -0.00652078 -0.000882675     0.630913,  -0.00647294 -0.000855718     0.631922,  -0.00628588 -0.000820961     0.632948,  -0.00595797 -0.000779027     0.633994, -0.00548505 -0.00073044    0.635063,  -0.00486344 -0.000675811      0.63616,  -0.00409486 -0.000616092      0.63729,  -0.00319425 -0.000552928     0.638459,  -0.00220249 -0.000489147     0.639672,  -0.00120681 -0.000429422     0.640933, -0.000373481 -0.000381159     0.642247,  0.000128934 -0.000352751     0.643372, 
120,    0.0153876 -9.12734e-05     0.621728, 1.31741e-309 1.31741e-309     0.622451,    0.0112319 -0.000248249     0.622334,   0.00781393 -0.000337643     0.622431,   0.00475084 -0.000453283     0.622705,     0.002123 -0.000565684     0.623155, -6.13827e-05 -0.000665781     0.623753,  -0.00183319 -0.000749058     0.624467,  -0.00324032 -0.000814009     0.625269,  -0.00433429 -0.000860981     0.626132,  -0.00516311 -0.000891344      0.62704, -0.00576773 -0.00090691    0.627979,  -0.00618078 -0.000909555      0.62894,  -0.00642641 -0.000900997     0.629918,  -0.00652078 -0.000882675     0.630913,  -0.00647294 -0.000855718     0.631922,  -0.00628588 -0.000820961     0.632948,  -0.00595797 -0.000779027     0.633994, -0.00548505 -0.00073044    0.635063,  -0.00486344 -0.000675811      0.63616,  -0.00409486 -0.000616092      0.63729,  -0.00319425 -0.000552928     0.638459,  -0.00220249 -0.000489147     0.639672,  -0.00120681 -0.000429422     0.640933, -0.000373481 -0.000381159     0.642247,  0.000128934 -0.000352751     0.643372, 
