0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
10,     0.04451 0.000381258  -0.0125938, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
20,   0.0782347 -0.00259925  -0.0170536, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
30,    0.102384 -0.00221965  -0.0054763, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
40,     0.140738 -0.000920252  0.000948439, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
50,     0.191532 -0.000188608   0.00664878, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
60,     0.253828 -8.80392e-05    0.0163146, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
70,    0.201394 -0.00056622   0.0219116,  -0.0436347 -0.00178516   0.0621605,  -0.0651934 -0.00165467    0.054633,  -0.0598265 -0.00187007   0.0544015,  -0.0519601 -0.00185161   0.0539041,  -0.0434018 -0.00169997   0.0532935,  -0.0351299 -0.00148157   0.0526602,  -0.0276164 -0.00123878   0.0520556,  -0.0210335 -0.00099737   0.0515062,   -0.0153822 -0.000771783    0.0510239,   -0.0105726 -0.000568997    0.0506114,  -0.00647108 -0.000391181    0.0502669,  -0.00292894 -0.000237564    0.0499857,  0.000202106 -0.000105725    0.0497627,  0.00306066 7.50822e-06   0.0495928,  0.00576959 0.000105426   0.0494719,  0.00843013 0.000190952   0.0493977,   0.0111134 0.000266225   0.0493707,   0.0138464 0.000332167   0.0493954,   0.0165885 0.000387961   0.0494821,   0.0191927 0.000430372   0.0496502,   0.0213439 0.000452814   0.0499329,   0.0224616 0.000444056    0.050384,   0.0215488 0.000386441   0.0510891,   0.0169605 0.000253442   0.0521818,  0.00525336 8.90581e-05   0.0330201, 
80,    0.162478 -0.00100928   0.0230555,  -0.0436347 -0.00178516   0.0621605,  -0.0651934 -0.00165467    0.054633,  -0.0598265 -0.00187007   0.0544015,  -0.0519601 -0.00185161   0.0539041,  -0.0434018 -0.00169997   0.0532935,  -0.0351299 -0.00148157   0.0526602,  -0.0276164 -0.00123878   0.0520556,  -0.0210335 -0.00099737   0.0515062,   -0.0153822 -0.000771783    0.0510239,   -0.0105726 -0.000568997    0.0506114,  -0.00647108 -0.000391181    0.0502669,  -0.00292894 -0.000237564    0.0499857,  0.000202106 -0.000105725    0.0497627,  0.00306066 7.50822e-06   0.0495928,  0.00576959 0.000105426   0.0494719,  0.00843013 0.000190952   0.0493977,   0.0111134 0.000266225   0.0493707,   0.0138464 0.000332167   0.0493954,   0.0165885 0.000387961   0.0494821,   0.0191927 0.000430372   0.0496502,   0.0213439 0.000452814   0.0499329,   0.0224616 0.000444056    0.050384,   0.0215488 0.000386441   0.0510891,   0.0169605 0.000253442   0.0521818,  0.00525336 8.90581e-05   0.0330201, 
90,    0.134419 -0.00146138   0.0221667,  -0.0436347 -0.00178516   0.0621605,  -0.0651934 -0.00165467    0.054633,  -0.0598265 -0.00187007   0.0544015,  -0.0519601 -0.00185161   0.0539041,  -0.0434018 -0.00169997   0.0532935,  -0.0351299 -0.00148157   0.0526602,  -0.0276164 -0.00123878   0.0520556,  -0.0210335 -0.00099737   0.0515062,   -0.0153822 -0.000771783    0.0510239,   -0.0105726 -0.000568997    0.0506114,  -0.00647108 -0.000391181    0.0502669,  -0.00292894 -0.000237564    0.0499857,  0.000202106 -0.000105725    0.0497627,  0.00306066 7.50822e-06   0.0495928,  0.00576959 0.000105426   0.0494719,  0.00843013 0.000190952   0.0493977,   0.0111134 0.000266225   0.0493707,   0.0138464 0.000332167   0.0493954,   0.0165885 0.000387961   0.0494821,   0.0191927 0.000430372   0.0496502,   0.0213439 0.000452814   0.0499329,   0.0224616 0.000444056    0.050384,   0.0215488 0.000386441   0.0510891,   0.0169605 0.000253442   0.0521818,  0.00525336 8.90581e-05   0.0330201, 
